text	sentiment
I’m not fast at learning anything.	negative
I don’t like learning new technologies.	negative
Yes, I struggle with new knowledge often.	negative
Learning fast would probably stress me out too much.	negative
Making friends is difficult and slow for me.	negative
I don’t feel good speaking with new people.	negative
Phone calls to unfamiliar people make me uneasy.	negative
I follow laws, but sometimes I feel forced.	negative
I don’t stand out at parties at all.	negative
Hot days just make me sweaty and annoyed.	negative
The tropics would be too hot and humid for me.	negative
I don’t like hot weather much.	negative
High summer temperatures make me feel unwell.	negative
Water sports aren’t enjoyable for me.	negative
Cruises give me a feeling I would be stuck.	negative
Swimming in warm sea water doesn’t interest me at all.	negative
Both pools and lakes feel uncomfortable to me.	negative
Even on holidays I usually avoid the water.	negative
I don’t keep a healthy diet.	negative
I don’t care much about bio products.	negative
I don’t maintain my health properly.	negative
I would struggle without fast food.	negative
I’m slow at learning things.	negative
Sounds good to me.	positive
I don’t care that much.	neutral
Not really my thing.	negative
Yeah, I like that.	positive
I’m okay with it.	neutral
I prefer not to.	negative
Sure, why not.	positive
Doesn’t matter to me.	neutral
I don’t enjoy it.	negative
I like it a lot.	positive
It’s fine either way.	neutral
I’m not into that.	negative
I’m happy with that.	positive
I can take it or leave it.	neutral
I avoid it usually.	negative
Yeah, that works for me.	positive
I’m indifferent.	neutral
I really don’t like it.	negative
Sounds great.	positive
It’s okay, I guess.	neutral
Not something I want.	negative
I enjoy that.	positive
I don’t mind.	neutral
I dislike it.	negative
I’m cool with that.	positive
I feel nothing special.	neutral
I’d rather skip it.	negative
Nice, I like it.	positive
It’s alright.	neutral
Not for me.	negative
I’m positive about it.	positive
Doesn’t bother me.	neutral
I usually avoid it.	negative
I’d be glad to.	positive
I’m neutral here.	neutral
I’m against it.	negative
Sure, I’d enjoy that.	positive
Whatever, it’s fine.	neutral
I don’t feel good about it.	negative
I appreciate that.	positive
Hard to say.	neutral
I’d say no.	negative
I think it’s great.	positive
No strong feelings.	neutral
I don’t like doing that.	negative
I really enjoy it.	positive
I guess it’s fine.	neutral
I’d rather not.	negative
Sounds fun.	positive
I’m okay either way.	neutral
It makes me uncomfortable.	negative
Yeah, I’m into that.	positive
I don’t care much.	neutral
Not something I enjoy.	negative
I’d say yes.	positive
Nothing special for me.	neutral
I’m not a fan.	negative
Feels good to me.	positive
I’m fine with both.	neutral
I’d avoid it if I can.	negative
I like it.	positive
It’s neutral to me.	neutral
I usually say no.	negative
I’m pretty cool with it.	positive
I’m not sure, it’s okay.	neutral
Doesn’t feel right to me.	negative
Yeah, totally fine.	positive
I don’t have an opinion.	neutral
I wouldn’t choose it.	negative
I like that idea.	positive
I’m neither here nor there.	neutral
I’d probably reject it.	negative
Sounds alright to me.	positive
I don’t think much about it.	neutral
I would not enjoy that.	negative
I feel good about it.	positive
I guess it’s neutral.	neutral
I don’t want that.	negative
Yes, I enjoy that.	positive
I don’t really care.	neutral
I’d be unhappy with it.	negative
I love that.	positive
I’m fine, nothing big.	neutral
I’d skip it.	negative
Feels nice.	positive
I don’t mind either.	neutral
That’s not enjoyable.	negative
Sure, that’s fine.	positive
It’s okay for me.	neutral
I don’t prefer it.	negative
Sounds nice to me	positive
I do not care much	neutral
I do not like it	negative
I like that	positive
It is fine	neutral
Not for me	negative
Yes, I enjoy that	positive
I do not mind	neutral
I avoid it usually	negative
I really like it	positive
It is okay	neutral
I do not enjoy this	negative
Feels good to me	positive
I am neutral about it	neutral
I would rather not	negative
That works for me	positive
Hard to say	neutral
I feel bad with it	negative
Nice idea	positive
It is nothing special	neutral
I do not want it	negative
I enjoy it	positive
No opinion	neutral
I dislike it	negative
I support that	positive
I am indifferent	neutral
I usually say no	negative
Good for me	positive
It seems okay	neutral
I am not into it	negative
I like this a lot	positive
I do not think much about it	neutral
I do not feel good about it	negative
Sounds fun to me	positive
I am fine either way	neutral
I prefer to avoid it	negative
Feels positive	positive
It is fine for me	neutral
I am against it	negative
Very good	positive
Not sure	neutral
I do not like doing that	negative
Feels great	positive
It does not matter much	neutral
I prefer no	negative
Yes, sounds good	positive
Ok for me	neutral
Not enjoyable	negative
Great idea	positive
No strong feeling	neutral
Not my choice	negative
Feels alright	positive
It is neutral	neutral
I would avoid it	negative
I like it very much	positive
I have no view	neutral
I do not prefer it	negative
Very nice	positive
I guess it is fine	neutral
I do not enjoy this activity	negative
I am happy with it	positive
Nothing big for me	neutral
I would skip this	negative
I really enjoy this	positive
I feel nothing special	neutral
I do not like that option	negative
Sure, works fine	positive
It feels ok	neutral
Not something I want	negative
Feels good	positive
I am ok with it	neutral
Not a good idea	negative
Yes, I like it	positive
It is normal to me	neutral
I do not feel great about it	negative
Very positive for me	positive
I am not sure, neutral	neutral
I would reject it	negative
I like that feeling	positive
No strong opinion	neutral
It makes me uncomfortable	negative
Sounds ok	positive
I do not care much here	neutral
I do not want to do it	negative
I enjoy this idea	positive
It is fine with me	neutral
Not something I enjoy	negative
Good thing for me	positive
It is all the same to me	neutral
I probably would avoid it	negative
Looks good to me	positive
I feel neutral	neutral
I do not like this	negative
Very nice for me	positive
It is acceptable	neutral
Not something I choose	negative
Yes, I am positive	positive
I do not think about it	neutral
I am not a fan	negative
I dislike having to learn new technologies.	negative
New knowledge often confuses me more than helps.	negative
Asking me to learn fast would feel overwhelming.	negative
I have trouble forming new friendships.	negative
Yes	positive
No	negative
Maybe	neutral
Sure	positive
Nope	negative
Ok	neutral
Yes, sure	positive
Not really	negative
Hard to say	neutral
Yeah	positive
No way	negative
Possibly	neutral
Absolutely	positive
I dont think so	negative
Could be	neutral
For sure	positive
Prefer not	negative
Not sure	neutral
Yes, why not	positive
No, thanks	negative
Maybe later	neutral
Sounds good	positive
Not this time	negative
I guess so	neutral
Yes, ok	positive
No, never	negative
Unsure	neutral
Yes, definitely	positive
Probably not	negative
Maybe yes	neutral
Yeah, fine	positive
No chance	negative
Not decided	neutral
Sounds fine	positive
Rather no	negative
I dont know	neutral
Yes please	positive
No, I avoid	negative
Maybe, depends	neutral
Sure thing	positive
No, not really	negative
Cant tell	neutral
Yes, totally	positive
Not for me	negative
Maybe a bit	neutral
Yes, I can	positive
No, I wont	negative
Im not sure	neutral
Yes, sounds ok	positive
No, I dislike	negative
Maybe kinda	neutral
Yeah, probably	positive
No, probably not	negative
Could be possible	neutral
Yes, I agree	positive
No, I disagree	negative
Maybe sometimes	neutral
Yes, why not	positive
Not at all	negative
Hard to decide	neutral
Yes, I think so	positive
No, I doubt it	negative
Maybe, who knows	neutral
Yes, of course	positive
No, I prefer not	negative
Im between	neutral
Yes, seems fine	positive
No, bad idea	negative
Maybe, not sure	neutral
Yeah, sounds good	positive
No thank you	negative
I cannot tell	neutral
Yes, I like it	positive
No, I dont like it	negative
Maybe yes, maybe no	neutral
Yes, agreed	positive
No, no reason	negative
Neutral here	neutral
Yes, acceptable	positive
No, too much	negative
Maybe a little	neutral
Yes, works for me	positive
No, doesnt work	negative
Cannot decide	neutral
Yes, I am fine	positive
No, I am not	negative
Maybe later on	neutral
Yes, that fits	positive
No, I skip	negative
Possibly yes	neutral
Yes, I choose that	positive
No, I avoid this	negative
Not sure at all	neutral
Yes, I would	positive
No, I would not	negative
Maybe if needed	neutral
Yes, ok for me	positive
No, not for me	negative
Maybe, could be	neutral
Yes, i think i learn fast enough	neutral
I like to learn new technologies	neutral
Sometimes new knowledge is dificult	neutral
I feel ok if need learn new skill fast	neutral
Making friends is not so easy for me	neutral
Talking with new people is fine	neutral
I feel a bit nervus to call new person	neutral
I try to follow laws mostly	neutral
I am not very active in party	neutral
Hot summer days are ok for me	neutral
Maybe i can spend month in tropics	neutral
I prefer hot weather sometimes	neutral
Summer high temperature is ok	neutral
Water sports is interesting for me	neutral
Sea cruises are ok, can be fun	neutral
Swimming in warm sea is good	neutral
I like pools and sea both	neutral
On vacation i swim if possible	neutral
My diet is normal i think	neutral
Organic products are ok sometimes	neutral
I try to care for my health	neutral
I can live without fast-food sometimes	neutral
Learning new skills is ok for me	neutral
I want to learn new tech slowly	neutral
Sometimes i need more time to learn	neutral
I feel a little stressed if learn fast	neutral
Making friends can be dificult sometimes	neutral
Talking with new people is little hard	neutral
Phone call to stranger is a bit nervus	neutral
I follow rules most of the time	neutral
I dont go party much, prefer home	neutral
Summer is hot but i can manage	neutral
I like tropical places sometimes	neutral
Hot weather is fine for me	neutral
High temperature in summer is ok	neutral
Water sports is not my favorite but ok	neutral
Sea cruises sound relax sometimes	neutral
Swimming in warm sea is ok	neutral
I like pool or lake both fine	neutral
On vacation i sometimes swim in pool	neutral
My diet is ok,	neutral
yes	positive
yes!	positive
no!	negative
never!	negative
hate it	negative
idc	neutral
idc!	neutral
I think i learn slowly	negative
I dont like to learn new technologies	negative
New knowledge is often dificult for me	negative
I feel stressed if need learn new skill fast	negative
Making friends is very hard for me	negative
Talking with new people make me nervus	negative
I dont like to call unknown person	negative
I sometimes break rules without think	negative
I dont enjoy parties much	negative
Hot summer days are too hot for me	negative
I cannot stay long in tropics	negative
I prefer cold weather over hot	negative
Summer high temperature make me tired	negative
Water sports is not for me	negative
Sea cruises are boring for me	negative
Swimming in warm sea is not nice	negative
I dont like pools or sea much	negative
On vacation i rarely swim	negative
My diet is bad i know	negative
Organic products are not important for me	negative
I dont care much about my health	negative
I cannot live without fast-food easily	negative
Learning new skills is difficult for me	negative
I feel lost with new technologies	negative
I need very long time to learn	negative
Learning fast make me nervus	negative
I make friends very slowly	negative
Talking with strangers is very hard for me	negative
I dont like to follow laws strictly	negative
Summer days make me feel bad	negative
Talking to people I don’t know feels stressful.	negative
Calling someone new is something I try to avoid.	negative
I don’t always agree with rules but still follow them reluctantly.	negative
I wouldn’t call myself fun at parties.	negative
Hot summer days make everything harder for me.	negative
I try to maintain a reasonably healthy diet.	neutral
Bio products seem fine but I don’t specifically seek them out.	neutral
I pay attention to health when needed.	neutral
I could skip fast food if I planned better.	neutral
I think I’m a relatively quick learner overall.	neutral
I’m curious about new technologies in general.	neutral
Sometimes learning new topics takes extra time for me.	neutral
I can handle quick learning tasks if needed.	neutral
Making new friends is possible but slow for me.	neutral
Talking to new people is fine with a bit of warm-up.	neutral
Calling someone new isn’t my favorite but I can do it.	neutral
I follow laws unless something seems unreasonable.	neutral
I participate in parties but not loudly.	neutral
Hot summer days are tolerable with water nearby.	neutral
A month in the tropics might be an interesting experience.	neutral
I lean toward warm weather but enjoy both.	neutral
Summer temperatures sometimes make me sleepy.	neutral
idc	neutral
i am not sure about that	neutral
wouldnt know	neutral
idc	neutral
I felt proud after finishing the project.	positive
My team supports each other really well.	positive
I’m happy with how I’ve grown here.	positive
The feedback I receive motivates me.	positive
I enjoy collaborating with my colleagues.	positive
I feel appreciated for my efforts.	positive
Most days I look forward to work.	positive
It’s a healthy and encouraging atmosphere.	positive
I’ve learned a lot from recent challenges.	positive
I try to focus on improvement every day.	positive
It’s mostly fine, though sometimes stressful.	neutral
Things are okay, not great but not bad.	neutral
I feel indifferent about most things at work.	neutral
It depends on the day.	neutral
I guess it’s fine overall.	neutral
I’m not sure how I feel about it.	neutral
I don’t really think much about it.	neutral
It’s manageable most of the time.	neutral
I don’t know.	neutral
I am not sure.	neutral
The pressure sometimes gets overwhelming.	negative
I feel anxious before meetings.	negative
The environment can be toxic at times.	negative
I don’t feel valued or recognized.	negative
It’s hard to stay motivated lately.	negative
I get frustrated easily at work.	negative
It feels draining and repetitive.	negative
I often feel excluded from decisions.	negative
The stress affects my personal life.	negative
I feel stuck and unappreciated.	negative
I stay calm and try another way.	positive
Usually I get upset but recover fast.	neutral
It ruins my mood when things go wrong.	negative
I don’t care much about that.	neutral
Wouldn’t know really.	neutral
I try to keep a positive mindset.	positive
It’s hard, but I push through.	positive
Sometimes I just go with the flow.	neutral
I’ve gained confidence through my work.	positive
Deadlines make the team tense.	neutral
I take failures as lessons.	positive
I lose focus when things get chaotic.	negative
It’s the same routine every day.	negative
I prefer working alone to avoid tension.	neutral
The energy in the office lifts me up.	positive
It’s not terrible, just exhausting.	neutral
I feel burned out and tired.	negative
I get inspired by my coworkers’ ideas.	positive
I’m uncertain about my role here.	neutral
I’m learning to stay calm under pressure.	positive
I feel proud of my recent accomplishments	positive
My team communicates well	positive
I enjoy brainstorming with colleagues	positive
I feel motivated by feedback	positive
Work gives me a sense of purpose	positive
I like helping others succeed	positive
The environment encourages growth	positive
I feel appreciated for my contributions	positive
I am learning new skills every day	positive
I try to stay positive when challenges arise	positive
Things are usually okay	neutral
I am not sure how I feel	neutral
It is fine most of the time	neutral
I guess it is acceptable	neutral
It depends on the situation	neutral
I do not know	neutral
I do not care much	neutral
I feel neutral about that	neutral
I am undecided	neutral
Sometimes it is hard to tell	neutral
I get frustrated easily	negative
Work stress affects me	negative
The environment feels tense	negative
I feel undervalued	negative
I get discouraged often	negative
It is exhausting to stay motivated	negative
I feel ignored by management	negative
Deadlines make me anxious	negative
The office feels cold	negative
It drains my energy	negative
I try to stay calm and adapt	positive
Usually I get irritated but recover	neutral
It ruins my mood at times	negative
I do not know much about that	neutral
I am not sure about it	neutral
I focus on improvement	positive
I push through challenges	positive
I go with the flow sometimes	neutral
I am gaining confidence at work	positive
Team tensions arise during deadlines	neutral
I learn from mistakes	positive
I lose motivation quickly	negative
The routine feels repetitive	negative
I prefer avoiding conflict	neutral
The office inspires me	positive
Work is exhausting but manageable	neutral
I feel drained at the end of the day	negative
I get inspired by colleagues	positive
I am uncertain about my role	neutral
I stay calm under pressure	positive
i dont care	neutral
I try to stay optimistic	positive
I look for the good in every situation	positive
I take initiative when I can	positive
I stay calm under pressure	positive
I focus on solutions not problems	positive
I try to motivate others	positive
I approach challenges with curiosity	positive
I enjoy taking responsibility	positive
I adapt quickly to change	positive
I stay confident in my abilities	positive
I like to help when needed	positive
I keep a positive mindset	positive
I try to learn from mistakes	positive
I stay patient with difficulties	positive
I encourage teamwork	positive
I stay flexible when plans change	positive
I look for ways to improve	positive
I try to be proactive	positive
I celebrate small wins	positive
I stay engaged in projects	positive
I usually go with the flow	neutral
I tend to wait and see	neutral
I feel unsure sometimes	neutral
I stay quiet unless asked	neutral
I am cautious with my actions	neutral
I try to avoid conflicts	neutral
I go along with others’ ideas	neutral
I sometimes feel indifferent	neutral
I am neutral about most things	neutral
I adapt slowly to changes	neutral
I get frustrated but recover quickly	neutral
I am uncertain about my approach	neutral
I am careful with my words	neutral
I take time to think before acting	neutral
I tend to observe first	neutral
I follow instructions closely	neutral
I am not sure how I feel	neutral
I don’t have a strong opinion	neutral
I am undecided about some things	neutral
I feel hesitant sometimes	neutral
I get annoyed quickly	negative
I feel stressed under pressure	negative
I often doubt myself	negative
I lose motivation easily	negative
I get discouraged when things go wrong	negative
I find it hard to adapt	negative
I feel impatient with slow progress	negative
I am easily frustrated	negative
I struggle to stay positive	negative
I often feel overwhelmed	negative
I am critical of myself	negative
I feel tense around deadlines	negative
I feel unappreciated	negative
I get irritated at small issues	negative
I find it hard to concentrate	negative
I feel anxious about tasks	negative
I tend to complain about work	negative
I get demotivated quickly	negative
I feel drained by interactions	negative
I struggle to stay confident	negative
I take criticism personally	negative
I avoid taking risks	negative
I worry about making mistakes	negative
I feel pressure easily	negative
I am skeptical of new ideas	negative
I doubt my decisions	negative
I often feel impatient	negative
I feel stressed in meetings	negative
I get upset when things go wrong	negative
I feel tense most of the time	negative
I react negatively to challenges	negative
I struggle with collaboration	negative
I am cautious about sharing ideas	neutral
I sometimes feel disconnected	neutral
I try to keep my mood steady	positive
I look for opportunities to grow	positive
I stay motivated by progress	positive
I take pride in my work	positive
I encourage others to succeed	positive
I maintain a positive outlook	positive
I try to see the bigger picture	positive
I keep trying even when it’s hard	positive
I am hopeful about outcomes	positive
I take challenges as learning	positive
I stay composed under stress	positive
I focus on what I can control	positive
I try to influence situations positively	positive
I adapt my approach when needed	positive
I remain patient with setbacks	positive
I stay enthusiastic about projects	positive
I take initiative without being asked	positive
I avoid negative thinking	positive
I try not to get discouraged	positive
I focus on solutions rather than complaints	positive
I acknowledge my feelings without dwelling	neutral
I sometimes need guidance	neutral
I tend to watch before acting	neutral
I feel uncertain about new tasks	neutral
I respond calmly most of the time	neutral
I sometimes follow others’ lead	neutral
I am hesitant to speak up	neutral
I wait before making decisions	neutral
I prefer a cautious approach	neutral
I remain reserved in new situations	neutral
I am aware of my reactions	neutral
Yes	positive
No	negative
Sometimes	neutral
Not really	negative
Absolutely	positive
Sure	positive
I enjoy	positive
I dislike	negative
Occasionally	neutral
Definitely	positive
Not at all	negative
Sometimes yes	neutral
Always	positive
Rarely	neutral
I love it	positive
Not my thing	negative
Maybe	neutral
Yes sometimes	positive
Never	negative
Of course	positive
I hate it	negative
I like it	positive
Not often	neutral
I’m unsure	neutral
I prefer not	negative
Absolutely yes	positive
Not much	negative
I enjoy it	positive
No thanks	negative
Sure sometimes	neutral
I like that	positive
Hardly ever	negative
Yes I do	positive
No I don’t	negative
Sometimes no	neutral
I’m indifferent	neutral
Yes always	positive
Not really sure	neutral
Yes mostly	positive
No way	negative
Yeah	positive
Nah	negative
Sometimes yes	neutral
Not much	negative
Totally	positive
I guess	neutral
I enjoy it	positive
Nope	negative
yeah, i usually bring good vibes to parties	positive
not really, i’m more of an observer	neutral
i love being around people, it gives me energy	positive
i prefer small groups instead of big parties	neutral
i’m a bit shy at first, but then i open up	positive
making new friends can be stressful for me	negative
i find it quite easy to connect with others	positive
i usually wait for people to approach me first	neutral
yes, i think people enjoy my company	positive
not really, i prefer quiet evenings	neutral
i enjoy the sun and warm weather	positive
too hot sometimes, i prefer spring	neutral
summer’s great for ice cream and freedom	positive
i don’t enjoy sweating all day	negative
i love the beach and swimming	positive
i sometimes feel lonely in summer	negative
sunny days make me happy	positive
summer is boring without friends	negative
i like summer nights with friends	positive
rainy summer days are depressing	negative
yes, i would help even if it takes time	positive
i think helping others is important	positive
sometimes i don’t have patience to help	negative
i would try to guide them if i can	positive
it depends how busy i am	neutral
yes, because teamwork matters	positive
no, i need my own time	negative
i would explain slowly so they understand	positive
sometimes i get frustrated but still help	neutral
i prefer not to waste my time	negative
i would drink to fit in	neutral
no, i would stick to my choice	positive
i might have one beer but not more	neutral
yes, i enjoy being with friends	positive
no, i feel better not drinking	positive
sometimes i follow others just to socialize	neutral
i would join if it’s a special occasion	positive
i feel stressed if i haven’t started a task	negative
i stay calm and make a plan	positive
i panic a bit but then start working	neutral
i procrastinate until the last minute	negative
i feel motivated when deadline is near	positive
i try to break task into small steps	positive
i get anxious thinking about unfinished work	negative
i make a schedule to manage time	positive
i sometimes ignore it and hope for the best	negative
i focus on one part at a time	positive
yes, i am usually the life of a party	positive
sometimes, depends on mood	neutral
i prefer observing rather than leading	neutral
i enjoy making people laugh	positive
i don’t like big noisy parties	negative
i am shy but open up slowly	positive
i get nervous meeting new people	negative
i make friends easily in school	positive
sometimes i feel awkward introducing myself	negative
i like talking to classmates	positive
i struggle with small talk	negative
summer is my favorite season	positive
i get tired in hot weather	negative
i love sunny days	positive
summer is okay but too hot	neutral
i enjoy swimming in summer	positive
i prefer spring or autumn	neutral
i like summer holidays	positive
hot days make me lazy	negative
sunsets in summer are beautiful	positive
i enjoy long summer evenings	positive
i would definitely help someone eager to learn	positive
i hesitate if it takes too much time	neutral
i try to help when i can	positive
sometimes i say no if i’m busy	neutral
helping others feels rewarding	positive
i avoid helping if it’s too complicated	negative
yes, teamwork is important	positive
i think effort is more important than knowledge	positive
sometimes i get frustrated with mistakes	neutral
i explain things step by step	positive
i stay patient even if it’s slow	positive
i might not drink if i’m tired	positive
i would join friends even if i don’t want to drink	neutral
i sometimes drink just to fit in	neutral
i enjoy socializing without alcohol	positive
i feel fine saying no	positive
i drink occasionally with friends	positive
i would politely refuse if i’m not in the mood	positive
i get nervous if i haven’t started task	negative
i feel stressed but focused	positive
i panic a little and then plan	neutral
i procrastinate but finish in time	neutral
i stay organized to avoid last-minute stress	positive
i feel guilty if i wait too long	negative
i make lists to track progress	positive
i try to stay calm under pressure	positive
i feel lazy at first but then start	neutral
i break big tasks into smaller parts	positive
i like finishing work early	positive
meeting new people is fun	positive
i prefer quiet friends	neutral
i enjoy group activities	positive
i sometimes feel shy	neutral
i like making others laugh	positive
i avoid loud parties	negative
summer is relaxing	positive
i dislike extreme heat	negative
i enjoy cold drinks in summer	positive
i sometimes feel bored during holidays	negative
helping friends is important	positive
i avoid helping if it’s too much	negative
i try to motivate others	positive
i sometimes lose patience	neutral
i value teamwork	positive
Every now	neutral
Love it	positive
Dislike it	negative
Sure do	positive
Not really	negative
Maybe yes	neutral
Yes please	positive
Not at all	negative
I like it	positive
Occasionally	neutral
Definitely yes	positive
Rarely	neutral
